"","model","dataset","priorHyperParameter","execFolder","sgrna","gene","logRatioLeftBound","logRatioRightBound","logRatio"
"85","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",85,"PDGFRB",-1.21003368653172,1.8365817027897,0.581418572286164
"86","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",86,"PDGFRB",-3.24882234421515,-0.455621188356582,-1.81485309893264
"87","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",87,"PDGFRB",-3.25571724788664,-1.26841354705032,-2.14729174198559
"88","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",88,"ALK",-2.34911690179359,0.785403713234408,-0.727847359442172
"89","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",89,"ALK",-3.22527549846161,-0.655756109968134,-1.86557172770762
"90","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",90,"ALK",-3.09872956513528,-0.202751815060245,-1.53664344800065
"91","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",91,"ROS1",-2.91758247908282,0.477977733218822,-1.00994210014501
"92","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",92,"ROS1",-3.69582684322107,-0.977550963899612,-2.29519940370782
"93","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",93,"ROS1",-3.19675752369094,-1.2074475150467,-2.09171405030966
"94","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",94,"RET",-3.72442955888758,-1.38366604230994,-2.51718981199468
"95","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",95,"RET",-3.4753166286988,-0.696025150125471,-2.03838493241019
"96","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",96,"RET",-3.20658112644101,-0.309503143012075,-1.69430147954318
"97","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",97,"FGFR1",-3.23384518254443,-1.08359398638622,-2.09757805595281
"98","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",98,"FGFR1",-2.22747995011183,2.10967685380629,-0.159384267930115
"99","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",99,"FGFR1",-1.42509703224955,3.37291701634713,1.17879368250722
"100","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",100,"FGFR2",-2.65494693173642,1.06946798569198,-0.679132870176715
"101","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",101,"FGFR2",-0.369516095320531,2.88639052377035,1.42968498064964
"102","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",102,"FGFR2",-1.85106589346214,2.38658964866171,0.379492474832898
"103","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",103,"FGFR3",-3.60534344563334,-1.40886086876259,-2.43862055117142
"104","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",104,"FGFR3",-3.47676826913729,-0.873206471313975,-2.10442256264031
"105","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",105,"FGFR3",-3.16009009646792,-0.765414500146717,-1.81256736470956
"106","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",106,"PIK3R1",-3.7653416590352,-1.04423404803974,-2.36990900186452
"107","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",107,"PIK3R1",-2.71927546102648,0.567305556063443,-0.974393190028795
"108","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",108,"PIK3R1",-3.29130746506149,-1.12086919999227,-2.1043337233169
"109","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",109,"PDK1",-3.17398276177705,0.054719109353435,-1.63416090149319
"110","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",110,"PDK1",-2.67048059288777,0.805202936346176,-0.855683069093645
"111","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",111,"PDK1",-3.29268702164277,-1.06770955121876,-2.11357776965565
"112","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",112,"PGR",-3.44800390332361,-0.549894005019101,-2.02668668453313
